ERROR: logging before google.Init: I0909 15:10:05.164857      20 server.go:1530] Starting language server process with pid 2
ERROR: logging before google.Init: I0909 15:10:05.165515      20 server.go:1583] Language server version: 1.1.27
ERROR: logging before google.Init: I0909 15:10:05.165531      20 server.go:591] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0909 15:10:05.166175      20 server.go:606] Language server listening on random port at 42625 for HTTPS (gRPC)
ERROR: logging before google.Init: I0909 15:10:05.166319      20 server.go:614] Language server listening on random port at 37647 for HTTP
ERROR: logging before google.Init: E0909 15:10:05.493560      46 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 15:10:05.493631      46 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0909 15:10:05.494750      20 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:05.494777      20 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:05.494842      20 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:05.494851      20 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:05.494958      20 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:05.494970      20 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:05.494999      20 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:05.495008      20 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:05.495044      20 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:05.495055      20 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:05.495080      20 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:05.495087      20 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 15:10:05.495448      20 server.go:1859] Generated and saved persistent installation UUID: b1b8b159-96eb-4128-9082-da8fea31193a
ERROR: logging before google.Init: I0909 15:10:05.495557      20 server.go:1873] Generated and saved default remote control hostname: steamdeck-astral-sol
ERROR: logging before google.Init: W0909 15:10:05.495651      20 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0909 15:10:05.495842      20 defaults.go:774] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0909 15:10:05.495853      20 manager.go:108] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: I0909 15:10:05.495889      99 migrate.go:50] Migration marker /eval-home/.gemini/config/.migrated does not exist. Attempting migration from AppDataDir /eval-home/.gemini/antigravity-cli.
ERROR: logging before google.Init: W0909 15:10:05.495900      20 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:05.495919      20 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:05.495953      20 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:05.495963      20 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 15:10:05.496067      99 migrate.go:158] Migration complete, marked with /eval-home/.gemini/config/.migrated
ERROR: logging before google.Init: W0909 15:10:05.496255     100 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:05.496275     100 errorreport.go:224] error getting token source: You are not logged into Antigravity.
