ERROR: logging before google.Init: I0909 15:10:53.346960      82 server.go:1530] Starting language server process with pid 2
ERROR: logging before google.Init: I0909 15:10:53.347472      82 server.go:1583] Language server version: 1.1.27
ERROR: logging before google.Init: I0909 15:10:53.347480      82 server.go:591] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0909 15:10:53.348011      82 server.go:606] Language server listening on random port at 41349 for HTTPS (gRPC)
ERROR: logging before google.Init: I0909 15:10:53.348054      82 server.go:614] Language server listening on random port at 33301 for HTTP
ERROR: logging before google.Init: E0909 15:10:53.460048      99 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 15:10:53.460189      99 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0909 15:10:53.460278      82 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.460300      82 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.460362      82 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.460394      82 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.460487      82 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.460500      82 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.460532      82 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.460541      82 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.460587      82 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.460595      82 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.460620      82 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.460627      82 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 15:10:53.460945      82 server.go:1859] Generated and saved persistent installation UUID: 60296e17-6281-44e6-a5db-ed821cc7afcd
ERROR: logging before google.Init: I0909 15:10:53.461074      82 server.go:1873] Generated and saved default remote control hostname: steamdeck-turbo-void
ERROR: logging before google.Init: W0909 15:10:53.461190      82 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0909 15:10:53.461406      82 defaults.go:774] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0909 15:10:53.461418      82 manager.go:108] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: W0909 15:10:53.461469      82 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.461485      82 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.461521      82 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.461530      82 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 15:10:53.461568     120 migrate.go:50] Migration marker /eval-home/.gemini/config/.migrated does not exist. Attempting migration from AppDataDir /eval-home/.gemini/antigravity-cli.
ERROR: logging before google.Init: I0909 15:10:53.461634     120 migrate.go:158] Migration complete, marked with /eval-home/.gemini/config/.migrated
ERROR: logging before google.Init: I0909 15:10:53.461911     126 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0909 15:10:53.461946     126 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0909 15:10:53.461951     126 manager.go:105] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] starting
ERROR: logging before google.Init: I0909 15:10:53.462036     126 project_uris_migration.go:42] Starting ProjectUrisMigration
ERROR: logging before google.Init: I0909 15:10:53.462047     126 manager.go:125] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] completed successfully in 10.691µs
ERROR: logging before google.Init: I0909 15:10:53.462417     126 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0909 15:10:53.462423     126 manager.go:105] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] starting
ERROR: logging before google.Init: I0909 15:10:53.462478     126 manager.go:125] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] completed successfully in 16.642µs
ERROR: logging before google.Init: I0909 15:10:53.462505     126 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
ERROR: logging before google.Init: I0909 15:10:53.462509     126 manager.go:105] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] starting
ERROR: logging before google.Init: I0909 15:10:53.462535     126 manager.go:125] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] completed successfully in 6.713µs
ERROR: logging before google.Init: I0909 15:10:53.462555     126 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
ERROR: logging before google.Init: I0909 15:10:53.467201      82 server.go:2944] Auth succeeded, refreshing features and managers
ERROR: logging before google.Init: E0909 15:10:53.467243      82 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 15:10:53.467277      82 server.go:2950] State refresh took 0ms
ERROR: logging before google.Init: I0909 15:10:53.467282      82 server.go:2964] [RemoteControl] Subscription callback triggered.
ERROR: logging before google.Init: I0909 15:10:53.467288      82 server.go:2967] [RemoteControl] RemoteControlEnabled value: false
ERROR: logging before google.Init: I0909 15:10:53.467291      82 server.go:3459] [RemoteControl] CLI launched without --remote-control, staying disconnected
ERROR: logging before google.Init: I0909 15:10:53.467293      82 server.go:3277] [RemoteControl] Resolved proxyServerURL: ""
ERROR: logging before google.Init: I0909 15:10:53.467301      82 profiler.go:231] Continuous pprof profiling is disabled.
ERROR: logging before google.Init: I0909 15:10:53.467412      37 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0909 15:10:53.467428      37 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0909 15:10:53.467437      37 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0909 15:10:53.467445      37 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0909 15:10:53.467449      37 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0909 15:10:53.467451      37 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
ERROR: logging before google.Init: I0909 15:10:53.467454      37 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0909 15:10:53.467456      37 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
ERROR: logging before google.Init: I0909 15:10:53.467443      82 server.go:2470] initialized server successfully in 120.424641ms
ERROR: logging before google.Init: W0909 15:10:53.467539      40 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.467554      40 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.467660      40 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.467669      40 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 15:10:53.468344       1 auto_updater.go:305] Spawned background update process with PID 15
ERROR: logging before google.Init: I0909 15:10:53.468458       1 common.go:150] Launching CLI mode
ERROR: logging before google.Init: E0909 15:10:53.468469       1 launchsteps.go:84] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
ERROR: logging before google.Init: I0909 15:10:53.468477       1 common.go:172] CLI app data directory: /eval-home/.gemini/antigravity-cli
ERROR: logging before google.Init: I0909 15:10:53.468487       1 server.go:285] Creating CLI server backend: product=antigravity workspaceDirs=[/workspace] appDataDir=/eval-home/.gemini/antigravity-cli cascadeManager=true codeAssist=true
ERROR: logging before google.Init: I0909 15:10:53.468604       1 composite_token_storage.go:123] Using file-based token storage because no D-Bus session bus detected
ERROR: logging before google.Init: I0909 15:10:53.468615       1 auth_provider.go:763] [AuthProvider] SetEnableBusinessLogin called with enable: true
ERROR: logging before google.Init: I0909 15:10:53.477289     149 store_client.go:665] summary store: starting background reconciliation (trigger=empty_on_open)
ERROR: logging before google.Init: E0909 15:10:53.477344     149 server.go:2706] Failed to read conversations directory /eval-home/.gemini/antigravity/conversations: open /eval-home/.gemini/antigravity/conversations: no such file or directory
ERROR: logging before google.Init: I0909 15:10:53.477373     149 server.go:2615] ListConversations returning 0 summaries
ERROR: logging before google.Init: I0909 15:10:53.477377     149 store_client.go:694] summary store: reconcile func returned 0 records, skipping
ERROR: logging before google.Init: I0909 15:10:53.477391       1 project.go:77] project: created project "workspace" (id=36e0e62a-6a74-477f-89fe-a350ed6e4733) at /eval-home/.gemini/config/projects/36e0e62a-6a74-477f-89fe-a350ed6e4733.json
ERROR: logging before google.Init: I0909 15:10:53.477401       1 server.go:1930] Backend project ID updated dynamically to: 36e0e62a-6a74-477f-89fe-a350ed6e4733
ERROR: logging before google.Init: W0909 15:10:53.477413      48 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.477443      48 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.477498      48 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.477513      48 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.477597      48 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.477607      48 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.477639      48 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.477646      48 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.477788     152 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.477807     152 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 15:10:53.477834       1 analytics.go:176] CLI startup completed (took 131.121647ms)
ERROR: logging before google.Init: I0909 15:10:53.477843       1 printmode.go:173] Print mode: starting (promptLength=973, model="", conversationID="")
ERROR: logging before google.Init: W0909 15:10:53.477851     152 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 15:10:53.477848       1 manager.go:415] Initializing CLI store manager for workspace /workspace
ERROR: logging before google.Init: E0909 15:10:53.477860     152 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.477981      48 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.477991      48 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.478031      48 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.478041      48 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 15:10:53.478111       1 cli_setting_manager.go:924] Skipping telemetry propagation because user is not logged in
ERROR: logging before google.Init: I0909 15:10:53.478139       1 cli_setting_manager.go:156] applyUserSettings: no shared config permissions from /eval-home/.gemini/config/config.json
ERROR: logging before google.Init: I0909 15:10:53.478145       1 cli_setting_manager.go:924] Skipping telemetry propagation because user is not logged in
ERROR: logging before google.Init: I0909 15:10:53.478147       1 cli_setting_manager.go:92] CLI settings initialized: permissions=<nil>, toolPermission=request-review
ERROR: logging before google.Init: W0909 15:10:53.478172      48 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.478183      48 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.478209      48 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.478217      48 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.478252      48 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:10:53.478260      48 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:10:53.478293      48 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 15:10:53.478294       1 hooks_manager.go:53] loaded 0 named hooks from 0 hooks.json file(s)
ERROR: logging before google.Init: E0909 15:10:53.478300      48 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 15:10:53.478299       1 manager.go:589] CLI store manager initialized successfully
ERROR: logging before google.Init: I0909 15:10:53.478304       1 session.go:67] Print mode: --dangerously-skip-permissions set, auto-approving all tool permissions
ERROR: logging before google.Init: I0909 15:10:53.478311       1 printmode.go:364] Print mode: not authenticated, trying silent auth
ERROR: logging before google.Init: I0909 15:10:53.478354     176 keyring.go:64] keyringAuth: loaded token, expiry=2026-09-05 20:02:46.745071759 -0400 -0400 expired=true
ERROR: logging before google.Init: I0909 15:10:53.676347     176 browser.go:259] token refreshed, new expiry=2026-09-09 16:10:52.676336031 +0000 UTC m=+3599.358668480
ERROR: logging before google.Init: I0909 15:10:53.890532       1 auth.go:148] ChainedAuth: authenticated via keyring (effective: keyring)
ERROR: logging before google.Init: I0909 15:10:53.890550       1 server_oauth.go:192] applyAuthResult: email=3martynov@gmail.com, authMethod=consumer, quotaProject=
ERROR: logging before google.Init: I0909 15:10:53.890554       1 server_oauth.go:197] OAuth: authenticated successfully as 3martynov@gmail.com
ERROR: logging before google.Init: I0909 15:10:53.890557       1 server_oauth.go:203] b.codeAssistClient.AuthProvider (0x36f9eb19c690) is same as b.cliAuth (0x36f9eb19c690)
ERROR: logging before google.Init: W0909 15:10:53.890584     211 cache.go:163] Failed to refresh cache in background: admin controls not applicable
