ERROR: logging before google.Init: I0909 14:54:21.536168      50 server.go:1530] Starting language server process with pid 2
ERROR: logging before google.Init: I0909 14:54:21.536614      50 server.go:1583] Language server version: 1.1.27
ERROR: logging before google.Init: I0909 14:54:21.536622      50 server.go:591] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0909 14:54:21.538797      50 server.go:606] Language server listening on random port at 37549 for HTTPS (gRPC)
ERROR: logging before google.Init: I0909 14:54:21.538864      50 server.go:614] Language server listening on random port at 46217 for HTTP
ERROR: logging before google.Init: W0909 14:54:21.657950      50 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:54:21.657965      88 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:54:21.657980      50 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 14:54:21.658007      88 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0909 14:54:21.658048      50 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:54:21.658061      50 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 14:54:21.658118      50 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:54:21.658128      50 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 14:54:21.658154      50 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:54:21.658161      50 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 14:54:21.658191      50 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:54:21.658199      50 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 14:54:21.658224      50 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:54:21.658233      50 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 14:54:21.658502      50 server.go:1859] Generated and saved persistent installation UUID: 04b5d8a4-860a-48ff-9bbf-ea1dbab8c29f
ERROR: logging before google.Init: I0909 14:54:21.658614      50 server.go:1873] Generated and saved default remote control hostname: steamdeck-ultima-ion
ERROR: logging before google.Init: W0909 14:54:21.658726      50 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0909 14:54:21.658915      50 defaults.go:774] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0909 14:54:21.658925      50 manager.go:108] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: W0909 14:54:21.658971      50 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:54:21.658983      50 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 14:54:21.659016      50 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:54:21.659028      50 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 14:54:21.659430     125 migrate.go:50] Migration marker /eval-home/.gemini/config/.migrated does not exist. Attempting migration from AppDataDir /eval-home/.gemini/antigravity-cli.
ERROR: logging before google.Init: I0909 14:54:21.659491     125 migrate.go:158] Migration complete, marked with /eval-home/.gemini/config/.migrated
ERROR: logging before google.Init: W0909 14:54:21.659599     127 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:54:21.659614     127 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 14:54:21.659661     127 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:54:21.659670     127 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 14:54:21.659793     131 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0909 14:54:21.659816     131 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0909 14:54:21.659823     131 manager.go:105] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] starting
ERROR: logging before google.Init: I0909 14:54:21.659915     131 project_uris_migration.go:42] Starting ProjectUrisMigration
ERROR: logging before google.Init: I0909 14:54:21.659926     131 manager.go:125] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] completed successfully in 11.172µs
ERROR: logging before google.Init: I0909 14:54:21.660287     131 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0909 14:54:21.660304     131 manager.go:105] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] starting
