ERROR: logging before google.Init: I0909 14:23:19.519736      11 server.go:1530] Starting language server process with pid 2
ERROR: logging before google.Init: I0909 14:23:19.520172      11 server.go:1583] Language server version: 1.1.27
ERROR: logging before google.Init: I0909 14:23:19.520179      11 server.go:591] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0909 14:23:19.520580      11 server.go:606] Language server listening on random port at 33845 for HTTPS (gRPC)
ERROR: logging before google.Init: I0909 14:23:19.520614      11 server.go:614] Language server listening on random port at 34527 for HTTP
ERROR: logging before google.Init: E0909 14:23:19.648507      29 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 14:23:19.648549      29 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0909 14:23:19.648794      11 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:23:19.648884      11 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 14:23:19.648945      11 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:23:19.648955      11 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 14:23:19.649015      11 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:23:19.649031      11 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 14:23:19.649094      11 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:23:19.649113      11 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 14:23:19.649177      11 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:23:19.649187      11 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 14:23:19.649216      11 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 14:23:19.649225      11 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
