ERROR: logging before google.Init: I0909 15:41:57.416227      27 server.go:1530] Starting language server process with pid 2
ERROR: logging before google.Init: I0909 15:41:57.416615      27 server.go:1583] Language server version: 1.1.27
ERROR: logging before google.Init: I0909 15:41:57.416621      27 server.go:591] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0909 15:41:57.417164      27 server.go:606] Language server listening on random port at 33507 for HTTPS (gRPC)
ERROR: logging before google.Init: I0909 15:41:57.417207      27 server.go:614] Language server listening on random port at 36729 for HTTP
ERROR: logging before google.Init: E0909 15:41:57.571573      45 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 15:41:57.571618      45 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0909 15:41:57.571712      27 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:41:57.571735      27 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:41:57.571793      27 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:41:57.571803      27 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:41:57.571857      27 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:41:57.571866      27 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:41:57.571894      27 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:41:57.571901      27 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 15:41:57.571932      27 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 15:41:57.571940      27 errorreport.go:224] error getting token source: You are not logged into Antigravity.
